,CVN-X,Cruiser-X,Destroyer-X,Frigate-X,SSN-X,SSGN-X,SSBN-X,AWS-X
Acquisition Cost,12200780652,1506043118,1506043118,1749550000,3099131499,3735599202,2198315580,3401415624
Yearly O&S,883365735,142833157,142833157,142833157,142344838,163237893,163237893,560826193
Service Life,0,3,3,3,3,1,3,0
First Available,2027,2027,2027,2027,2027,2027,2027,2027
R&D Cost,4633162821,6769656260,6769656260,3597741525,8612016578,12904057485,12904057485,461163237.2
Max Build Per Year,0.4,3,3,3,4,1,1,0.6
Direct Cost,351849064,61214210,61214210,61214210,71172419,71416578,71416578,228484745
Indirect Cost,134750705,20404737,20404737,20404737,40669954,40809473,40809473,83085362
Overhead Cost,396765966,61214210,61214210,61214210,30502465,51011842,51011842,249256086
Total Cost,883365735,142833157,142833157,142833157,142344838,163237893,163237893,560826193
Direct Personnel,2396,347,347,347,193,326,326,1475
Indirect Personnel,569,102,102,102,51,82,82,353
Overhead Personnel,1961,296,296,296,153,265,265,1205
Total Personnel,4926,745,745,745,397,673,673,3033
Speed (knots),30,30,30,30,25,20,20,20
Tonnage (lbs),100000,9700,9700,9700,7800,18750,18750,43745
Aircraft Capacity,75,2,2,2,0,0,0,29
VLS Tubes,0,90,90,96,12,22,0,0
Crew,2628,310,310,302,139,159,159,1044
Officers,169,37,37,32,18,15,15,65
Enlisted,2459,273,273,270,121,144,144,979
